採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
澎湖地區,澎湖縣,隘門國小,2019/4/15 下午 02:56:00,4439,--,--,--,--,3.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
澎湖地區,澎湖縣,赤馬國小,2019/11/13 上午 09:53:00,4440,16.855,26.5,3210,7.22,2.0,--,661,2080,701,0.10,0.12,117,0.76,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.008,0.318,--,--,<0.006,<0.1,315,26.0,118,90.0,189,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
澎湖地區,澎湖縣,赤馬國小,2019/4/16 下午 03:09:00,4440,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
澎湖地區,澎湖縣,港子國小,2019/11/11 上午 11:57:00,4441,3.337,29.1,12400,7.26,2.4,--,1730,8770,3770,0.02,0.12,473,0.57,0.0022,<0.001,<0.001,<0.001,0.004,0.003,0.030,0.009,--,--,<0.006,0.52,2190,81.6,188,326,334,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
澎湖地區,澎湖縣,港子國小,2019/4/16 下午 01:38:00,4441,--,--,--,--,0.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,高雄市,美濃國中,2019/10/28 下午 01:05:00,4447,5.345,29.3,698,7.03,2.8,--,336,422,6.8,<0.01,0.07,39.1,0.65,0.0013,<0.001,<0.001,<0.001,<0.003,0.003,0.401,0.434,--,--,<0.006,0.25,17.0,3.18,118,18.1,315,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,高雄市,美濃國中,2019/4/17 下午 12:56:00,4447,--,--,--,--,1.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,高雄市,美濃國中,2019/4/11 下午 12:52:00,4447,5.610,28.9,731,6.99,1.8,--,355,410,11.3,<0.01,0.03,59.1,0.65,0.0008,<0.001,<0.001,<0.001,<0.003,0.002,0.479,0.385,<0.0003,<0.005,<0.006,0.21,19.3,3.38,117,17.8,311,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,高雄市,溪洲國小(高雄市),2019/10/19 下午 02:41:00,4448,7.050,27.6,680,6.63,1.8,--,342,470,8.3,0.05,<0.01,92.3,0.62,0.0023,<0.001,<0.001,<0.001,0.004,0.004,3.15,0.514,--,--,0.0066,0.18,16.2,3.95,90.2,30.1,266,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,高雄市,溪洲國小(高雄市),2019/4/23 下午 02:41:00,4448,--,--,--,--,2.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,高雄市,溪洲國小(高雄市),2019/4/11 下午 02:45:00,4448,9.800,27.7,447,6.68,2.8,--,174,269,9.6,0.03,0.02,60.1,0.57,0.0013,<0.001,<0.001,<0.001,<0.003,0.013,6.53,0.672,<0.0003,<0.005,<0.006,<0.1,17.6,5.62,44.3,15.7,148,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,信國社區活動中心,2019/10/11 上午 09:50:00,4450,10.690,27.6,951,7.10,7.3,--,514,732,3.6,<0.01,1.27,262,0.44,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,<0.005,<0.005,--,--,<0.006,<0.1,13.6,3.55,150,31.0,251,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,信國社區活動中心,2019/4/29 上午 09:30:00,4450,--,--,--,--,0.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,後庄國小,2019/10/10 上午 11:17:00,4452,5.415,27.8,717,7.05,1.9,--,361,508,8.4,<0.01,5.19,76.7,0.78,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.005,0.560,--,--,<0.006,0.15,10.4,6.96,122,16.6,281,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,後庄國小,2019/4/16 下午 12:07:00,4452,--,--,--,--,1.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,新圍國小,2019/10/19 上午 11:49:00,4453,6.870,26.6,840,6.98,5.7,--,351,526,9.2,<0.01,9.95,97.7,0.43,<0.0003,<0.001,<0.001,<0.001,<0.003,0.002,0.009,<0.005,--,--,<0.006,0.12,7.11,1.43,127,15.6,235,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,新圍國小,2019/4/12 下午 01:44:00,4453,--,--,--,--,4.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,0.00428,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,和平國小(屏東縣),2019/10/17 上午 10:46:00,4455,4.307,27.8,770,7.06,2.2,--,391,502,18.3,<0.01,0.44,103,0.52,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.019,1.06,--,--,<0.006,0.22,15.1,3.31,128,17.3,291,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,和平國小(屏東縣),2019/3/22 上午 10:59:00,4455,--,--,--,--,0.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,前進國小,2019/11/2 下午 01:14:00,4456,3.195,27.8,952,7.16,1.4,--,397,583,57.8,0.80,0.02,84.6,0.84,0.0055,<0.001,<0.001,<0.001,<0.003,0.004,2.06,0.687,--,--,<0.006,0.14,44.5,5.85,137,17.2,336,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,前進國小,2019/3/22 下午 01:42:00,4456,--,--,--,--,1.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,新生國小,2019/10/11 上午 10:16:00,4457,15.385,28.1,553,7.11,1.2,--,258,363,6.8,<0.01,8.08,41.4,0.37,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.013,<0.005,--,--,<0.006,<0.1,8.82,0.966,89.3,9.60,199,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,新生國小,2019/5/3 上午 11:19:00,4457,--,--,--,--,3.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,高雄市,溪寮國小,2019/11/2 上午 09:42:00,4458,3.765,26.7,858,7.18,3.0,--,423,582,17.8,0.01,4.67,121,0.52,<0.0003,<0.001,<0.001,<0.001,<0.003,0.005,0.011,0.677,--,--,0.0082,0.21,19.5,5.64,143,20.6,295,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,高雄市,溪寮國小,2019/3/22 上午 09:31:00,4458,--,--,--,--,1.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,內埔國小,2019/10/11 下午 01:09:00,4459,2.896,29.0,338,6.32,2.8,--,140,210,6.9,<0.01,1.35,23.1,0.71,<0.0003,<0.001,<0.001,<0.001,<0.003,0.003,0.035,0.211,--,--,0.0066,0.14,12.7,4.35,43.1,6.58,130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,內埔國小,2019/3/19 下午 01:54:00,4459,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,萬丹國小竹林分校,2019/10/16 下午 01:16:00,4460,5.143,26.4,674,7.26,1.6,--,329,451,27.1,0.69,0.02,62.4,0.68,0.0380,<0.001,<0.001,<0.001,<0.003,<0.002,2.68,0.279,--,--,0.0235,<0.1,14.3,1.32,103,14.4,245,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,萬丹國小竹林分校,2019/3/20 下午 01:14:00,4460,--,--,--,--,2.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,高雄市,潮寮國小,2019/11/2 下午 01:12:00,4461,3.376,29.4,1040,7.12,1.8,--,413,584,29.9,<0.01,0.83,104,0.75,0.0037,<0.001,<0.001,<0.001,<0.003,0.004,0.482,0.734,--,--,0.0098,<0.1,37.1,5.30,131,25.1,342,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,高雄市,潮寮國小,2019/3/22 下午 01:54:00,4461,--,--,--,--,0.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,佳佐國小,2019/11/12 上午 11:41:00,4462,5.440,27.9,428,6.89,6.9,--,201,292,5.5,<0.01,7.33,31.1,0.30,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.012,<0.005,--,--,<0.006,<0.1,5.66,1.43,69.0,11.8,151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,佳佐國小,2019/3/29 下午 01:00:00,4462,--,--,--,--,3.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,潮州國小,2019/11/9 下午 02:19:00,4463,4.704,27.9,530,6.82,2.7,--,240,340,6.6,0.02,3.55,33.8,0.55,<0.0003,<0.001,<0.001,0.001,<0.003,<0.002,<0.005,0.240,--,--,<0.006,0.15,13.6,3.05,75.1,15.1,199,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,潮州國小,2019/4/12 下午 02:49:00,4463,--,--,--,--,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,仙吉國小,2019/10/28 下午 12:13:00,4464,2.858,28.8,640,7.16,1.2,--,295,426,14.0,0.03,0.49,56.2,0.71,0.0088,<0.001,<0.001,<0.001,<0.003,0.002,0.228,0.664,--,--,<0.006,0.11,17.8,3.46,106,13.2,256,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,仙吉國小,2019/3/29 下午 12:35:00,4464,--,--,--,--,1.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,高雄市,中芸國小,2019/10/28 下午 03:56:00,4465,2.921,29.1,37300,7.20,3.1,--,4300,28000,13400,1.45,0.04,1900,1.31,0.0111,<0.001,<0.001,<0.001,<0.003,0.004,2.67,2.02,--,--,<0.006,1.23,8090,274,405,838,189,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,高雄市,中芸國小,2019/3/29 下午 03:59:00,4465,--,--,--,--,0.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,昌隆國小,2019/10/15 下午 04:50:00,4467,2.518,28.2,622,6.76,1.6,--,299,383,16.6,0.03,1.45,55.8,0.54,0.0007,<0.001,<0.001,<0.001,0.006,<0.002,2.17,1.09,--,--,<0.006,0.13,13.7,4.33,82.8,19.9,237,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,昌隆國小,2019/3/20 下午 03:40:00,4467,--,--,--,--,0.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,僑德國小,2019/11/11 下午 12:02:00,4469,1.475,27.4,612,6.94,3.0,--,243,395,30.8,<0.01,4.38,85.0,0.35,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,<0.005,0.044,--,--,<0.006,<0.1,33.0,1.19,61.6,23.9,179,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,僑德國小,2019/5/7 上午 11:29:00,4469,--,--,--,--,1.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,新南國小,2019/10/11 下午 01:20:00,4479,5.205,27.2,685,7.23,7.4,--,337,484,9.3,<0.01,9.68,78.1,0.64,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,<0.005,<0.005,--,--,<0.006,<0.1,9.03,2.94,112,13.6,226,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,新南國小,2019/4/29 下午 01:39:00,4479,--,--,--,--,3.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,廣安國小,2019/10/16 下午 02:46:00,4501,4.580,28.4,1140,6.48,1.3,--,570,940,42.2,<0.01,18.9,243,0.64,<0.0003,<0.001,<0.001,<0.001,<0.003,0.006,0.006,7.03,--,--,0.0133,0.17,24.6,3.52,182,27.3,234,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,廣安國小,2019/3/20 下午 03:11:00,4501,--,--,--,--,1.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,新興國小,2019/10/28 下午 03:30:00,4508,4.996,28.2,1010,6.96,2.2,--,476,716,34.7,<0.01,6.22,130,0.62,<0.0003,<0.001,<0.001,<0.001,<0.003,<0.002,0.007,0.847,--,--,<0.006,<0.1,26.8,11.8,166,24.3,335,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,新興國小,2019/3/29 下午 03:36:00,4508,--,--,--,--,1.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,四林國小(原為泗林國小),2019/11/12 下午 01:16:00,4514,3.550,27.0,455,7.20,6.6,--,223,295,3.0,<0.01,4.19,30.7,0.34,<0.0003,<0.001,0.001,<0.001,<0.003,<0.002,0.056,<0.005,--,--,<0.006,<0.1,5.32,0.979,76.6,12.5,185,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,四林國小(原為泗林國小),2019/3/29 下午 02:29:00,4514,--,--,--,--,4.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,餉潭國小,2019/11/11 下午 04:59:00,4522,12.215,27.9,230,6.41,6.4,--,91.1,150,4.1,<0.01,3.06,16.8,0.29,<0.0003,<0.001,<0.001,0.001,<0.003,0.005,<0.005,<0.005,--,--,<0.006,<0.1,9.31,0.647,22.3,9.42,81.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,餉潭國小,2019/5/7 下午 02:54:00,4522,--,--,--,--,2.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
屏東平原,屏東縣,以栗國小,2019/10/28 上午 09:57:00,4527,1.969,29.3,7080,7.33,3.5,--,856,4550,2070,4.38,0.01,235,1.20,0.0023,<0.001,<0.001,<0.001,<0.003,0.006,0.310,0.636,--,--,<0.006,0.42,1250,45.6,138,128,311,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
屏東平原,屏東縣,以栗國小,2019/3/29 上午 09:46:00,4527,--,--,--,--,0.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,華龍國小,2019/10/17 下午 02:52:00,4537,6.530,27.2,811,6.68,3.3,--,316,601,21.9,0.02,3.33,196,0.48,0.0005,<0.001,<0.001,0.001,<0.003,0.011,0.021,<0.005,--,--,<0.0060,<0.10,47.0,3.98,90.9,22.9,168,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,華龍國小,2019/4/24 上午 11:36:00,4537,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,大安國中,2019/10/18 下午 02:30:00,4538,1.895,27.3,628,6.48,1.6,--,311,447,18.4,0.08,2.54,145,0.61,<0.0003,<0.001,<0.001,<0.001,<0.003,0.007,0.028,<0.005,--,--,<0.0060,<0.10,16.8,5.04,79.3,20.6,115,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,大安國中,2019/4/24 下午 02:04:00,4538,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,清水國小(台中市),2019/10/9 上午 11:10:00,4541,1.062,31.0,512,7.06,0.4,--,171,315,23.0,1.74,<0.01,19.8,1.70,0.0081,<0.001,<0.001,<0.001,<0.003,0.006,1.63,0.408,--,--,<0.0060,0.25,28.7,5.29,62.4,6.68,186,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,清水國小(台中市),2019/4/25 上午 09:47:00,4541,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,梧南國小,2019/10/15 上午 10:53:00,4542,2.135,27.7,768,7.34,0.2,--,346,464,32.0,0.38,<0.01,43.0,1.24,0.0134,<0.001,<0.001,<0.001,<0.003,0.004,2.39,0.134,--,--,<0.0060,0.34,41.8,21.2,70.2,40.2,345,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,臺中市,梧南國小,2019/4/25 上午 11:35:00,4542,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,臺中市,梧南國小,2019/4/3 上午 10:48:00,4542,1.788,25.2,766,7.32,1.1,--,327,461,37.1,0.37,<0.01,43.5,0.98,0.0143,<0.001,<0.001,<0.001,<0.003,0.006,1.23,0.100,<0.0003,0.010,<0.0060,0.62,40.8,20.2,62.6,40.5,310,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
